Brand,Model,Capacity,Energy Rating,Type,Features,Color,Material,Warranty Period,Country of Manufacture,Price,Random Numeric Feature 1,Random Text Feature 2,Irrelevant Category Feature 3
LG,Model10461,487.0,B,Double Door,None,White,Plastic,8.0,Germany,360.0,2239.0,Text10461,Category1
Samsung,Model10462,455.0,A,Single Door,None,Silver,Stainless Steel,4.0,USA,625.0,4864.0,Text10462,Category1
Whirlpool,Model10463,586.0,A,Single Door,,Black,Plastic,5.0,Germany,1987.0,4747.0,Text10463,Category2
Frigidaire,Model10464,112.0,A,Side-by-Side,Water Dispenser,Black,Glass,4.0,,1869.0,4596.0,Text10464,Category3
Electrolux,,608.0,B,Single Door,Water Dispenser,White,,1.0,Germany,1800.0,4865.0,Text10465,Category2
Samsung,Model10466,610.0,A,Side-by-Side,None,White,Plastic,8.0,USA,935.0,3025.0,Text10466,Category3
GE,Model10467,226.0,A,Single Door,None,,Stainless Steel,9.0,India,536.0,2364.0,Text10467,Category1
Frigidaire,Model10468,,A+,,Ice Dispenser,White,Stainless Steel,4.0,USA,1741.0,2940.0,Text10468,Category2
Bosch,Model10469,699.0,A+,Double Door,Ice Dispenser,Silver,Stainless Steel,2.0,USA,1368.0,1260.0,Text10469,Category2
Panasonic,Model10470,499.0,A+,Side-by-Side,None,Gray,Glass,5.0,India,729.0,4198.0,Text10470,Category2
Frigidaire,Model10471,737.0,B,Double Door,None,Black,Plastic,5.0,China,1109.0,3190.0,Text10471,Category2
Panasonic,Model10472,132.0,A+,Single Door,Smart Connectivity,Black,Plastic,3.0,Germany,1320.0,1929.0,Text10472,Category2
LG,Model10473,324.0,B,Side-by-Side,Smart Connectivity,Black,Plastic,5.0,China,709.0,2249.0,Text10473,Category1
Whirlpool,Model10474,726.0,A++,,Smart Connectivity,Silver,Glass,7.0,India,490.0,3430.0,Text10474,Category1
Siemens,Model10475,356.0,A++,Side-by-Side,Smart Connectivity,Gray,Stainless Steel,6.0,USA,429.0,1158.0,Text10475,Category1
Frigidaire,Model10476,,A+,Single Door,Smart Connectivity,Black,Stainless Steel,3.0,Germany,623.0,3460.0,Text10476,Category2
Bosch,Model10477,764.0,A++,Side-by-Side,Ice Dispenser,White,Glass,6.0,USA,658.0,3268.0,Text10477,Category3
LG,Model10478,563.0,A,Double Door,None,White,Stainless Steel,7.0,USA,671.0,3919.0,Text10478,Category2
LG,Model10479,589.0,A++,Side-by-Side,Ice Dispenser,Black,Glass,8.0,USA,1385.0,2647.0,Text10479,Category2
Frigidaire,Model10480,-24.0,A++,Single Door,Ice Dispenser,White,Stainless Steel,2.0,USA,958.0,3308.0,Text10480,Category2
Bosch,Model10481,181.0,A++,,None,Silver,Stainless Steel,7.0,,,1909.0,Text10481,Category1
Electrolux,Model10482,580.0,A+,Single Door,None,Silver,Glass,5.0,USA,512.0,1357.0,Text10482,Category1
Bosch,Model10483,349.0,A+,Side-by-Side,Water Dispenser,Black,Stainless Steel,2.0,India,374.0,4373.0,Text10483,Category2
Siemens,Model10484,718.0,A+,Double Door,None,,Glass,3.0,USA,542.0,4136.0,Text10484,Category1
Samsung,Model10485,666.0,B,Side-by-Side,Water Dispenser,White,Plastic,5.0,USA,332.0,3392.0,Text10485,Category2
Frigidaire,Model10486,100.0,B,Double Door,Ice Dispenser,White,Plastic,9.0,USA,802.0,2144.0,Text10486,Category1
Whirlpool,Model10487,722.0,A,Side-by-Side,Ice Dispenser,Silver,Stainless Steel,3.0,,1772.0,4911.0,Text10487,Category3
Haier,Model10488,669.0,A,Side-by-Side,Ice Dispenser,Gray,Plastic,2.0,China,1718.0,1326.0,Text10488,Category1
Br@ndX,Model10489,469.0,B,Single Door,None,Silver,Plastic,1.0,Germany,1695.0,2780.0,Text10489,Category3
GE,Model10490,356.0,A,Single Door,Ice Dispenser,Gray,Stainless Steel,8.0,India,1934.0,3158.0,Text10490,Category3
GE,Model10491,156.0,A,Double Door,None,Black,Glass,3.0,USA,1908.0,4010.0,Text10491,Category1
Electrolux,Model10492,276.0,B,Single Door,Smart Connectivity,Silver,Stainless Steel,7.0,Germany,1236.0,3027.0,Text10492,Category1
GE,Model10493,278.0,,Side-by-Side,None,Black,Glass,1.0,China,1048.0,2481.0,Text10493,Category3
Bosch,Model10494,153.0,B,Single Door,None,Silver,Stainless Steel,2.0,Germany,1271.0,4396.0,Text10494,Category1
LG,Model10495,733.0,A,Side-by-Side,Smart Connectivity,Gray,Plastic,8.0,Germany,1765.0,2271.0,Text10495,Category2
Whirlpool,Model10496,,A+,Side-by-Side,Water Dispenser,Black,Plastic,,,1779.0,2802.0,Text10496,Category3
Samsung,,528.0,A,Side-by-Side,Ice Dispenser,Gray,Stainless Steel,3.0,USA,990.0,4031.0,Text10497,Category2
GE,Model10498,403.0,A+,Single Door,Smart Connectivity,Black,Plastic,1.0,,433.0,2408.0,,Category2
Panasonic,Model10499,626.0,A,Single Door,None,Black,Glass,2.0,USA,798.0,1562.0,Text10499,Category1
Siemens,Model10500,318.0,A,Side-by-Side,Ice Dispenser,Silver,,1.0,USA,1797.0,4074.0,,Category2
Samsung,Model10501,686.0,A+,Double Door,Water Dispenser,Silver,Plastic,3.0,Germany,1289.0,2721.0,Text10501,Category2
Panasonic,Model10502,583.0,A,Double Door,Ice Dispenser,Silver,Plastic,1.0,China,1705.0,3495.0,Text10502,Category1
Panasonic,Model10503,,B,Double Door,Water Dispenser,Black,Stainless Steel,7.0,Germany,1999.0,3837.0,Text10503,Category1
LG,Model10504,,B,Single Door,Smart Connectivity,Gray,Stainless Steel,7.0,Germany,1300.0,1677.0,Text10504,
Siemens,Model10505,103.0,A+,Side-by-Side,Smart Connectivity,Black,Plastic,3.0,India,643.0,3474.0,Text10505,Category3
Bosch,Model10506,157.0,A+,Double Door,Ice Dispenser,Silver,Stainless Steel,4.0,India,1184.0,3111.0,Text10506,Category3
Bosch,Model10507,605.0,A,Side-by-Side,Water Dispenser,White,Glass,8.0,USA,1008.0,1712.0,Text10507,Category1
Bosch,Model10508,235.0,B,Single Door,Smart Connectivity,Black,Plastic,3.0,India,1089.0,4906.0,Text10508,Category1
LG,Model10509,610.0,A++,Double Door,Ice Dispenser,Silver,Glass,6.0,USA,1658.0,1076.0,Text10509,Category1
LG,Model10510,672.0,B,Side-by-Side,,Black,Stainless Steel,5.0,Germany,822.0,4405.0,Text10510,Category2
Bosch,Model10511,,A,Side-by-Side,Smart Connectivity,Silver,Plastic,5.0,China,1959.0,3326.0,Text10511,Category3
GE,Model10512,136.0,B,Single Door,,,Plastic,1.0,USA,523.0,2185.0,Text10512,Category3
Haier,Model10513,558.0,A,Double Door,None,Gray,Plastic,8.0,Germany,1020.0,,Text10513,Category1
Electrolux,Model10514,490.0,A+,Single Door,Water Dispenser,Black,Glass,3.0,China,1593.0,4474.0,Text10514,Category2
Haier,Model10515,209.0,B,Side-by-Side,Ice Dispenser,Black,Stainless Steel,5.0,USA,415.0,1975.0,Text10515,Category3
GE,Model10516,603.0,B,Side-by-Side,Ice Dispenser,White,Glass,8.0,USA,846.0,1487.0,Text10516,Category1
LG,Model10517,552.0,A,Double Door,Smart Connectivity,Silver,Plastic,,Germany,1326.0,1981.0,Text10517,Category1
Siemens,Model10518,399.0,A++,Side-by-Side,None,White,Stainless Steel,2.0,Germany,937.0,2639.0,,Category3
LG,Model10519,714.0,A++,Double Door,,White,Plastic,1.0,Germany,891.0,4034.0,Text10519,
Samsung,Model10520,318.0,B,Double Door,Ice Dispenser,Gray,Stainless Steel,,India,1892.0,4084.0,,Category1
LG,Model10521,205.0,A++,Single Door,Water Dispenser,Silver,Glass,3.0,China,1089.0,,Text10521,Category1
Frigidaire,Model10522,348.0,B,Single Door,Smart Connectivity,Gray,Plastic,6.0,Germany,707.0,4533.0,Text10522,Category3
Frigidaire,Model10523,182.0,B,Double Door,Water Dispenser,White,Glass,2.0,India,1726.0,,Text10523,Category1
Samsung,Model10524,312.0,B,Side-by-Side,Ice Dispenser,Black,Glass,2.0,China,1082.0,4792.0,Text10524,Category2
Electrolux,Model10525,392.0,A,Side-by-Side,None,Black,Stainless Steel,3.0,Germany,1828.0,4099.0,Text10525,Category3
Bosch,Model10526,342.0,A++,Side-by-Side,,White,Plastic,4.0,Germany,1912.0,2323.0,Text10526,
Siemens,Model10527,299.0,A++,Single Door,Ice Dispenser,Black,Glass,4.0,USA,986.0,2852.0,Text10527,Category1
Siemens,Model10528,393.0,A++,Single Door,None,Black,Glass,8.0,India,1561.0,3293.0,Text10528,Category3
Electrolux,Model10529,354.0,A+,Single Door,Smart Connectivity,Gray,Plastic,5.0,USA,1009.0,3778.0,Text10529,Category1
Siemens,Model10530,174.0,A+,Double Door,None,Black,Plastic,8.0,India,1776.0,,Text10530,Category3
Electrolux,,256.0,A+,Side-by-Side,None,Silver,Plastic,8.0,USA,1467.0,2145.0,Text10531,Category3
LG,Model10532,661.0,B,Single Door,None,White,Stainless Steel,8.0,USA,372.0,1457.0,Text10532,Category2
Whirlpool,,424.0,A++,Side-by-Side,None,Black,Plastic,9.0,China,1841.0,2227.0,Text10533,Category1
GE,Model10534,196.0,A+,Side-by-Side,,Black,Plastic,,Germany,560.0,1871.0,Text10534,Category2
Frigidaire,Model10535,232.0,,Single Door,Ice Dispenser,Black,Glass,8.0,India,1822.0,3785.0,Text10535,Category2
GE,Model10536,394.0,A+,Double Door,Ice Dispenser,White,Glass,5.0,China,1018.0,2924.0,Text10536,
Whirlpool,Model10537,251.0,A+,Single Door,,Silver,Stainless Steel,6.0,USA,521.0,4503.0,Text10537,Category3
Samsung,Model10538,571.0,B,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,,China,729.0,3043.0,Text10538,Category1
Siemens,Model10539,301.0,B,Double Door,Ice Dispenser,Black,Plastic,1.0,USA,1916.0,4333.0,Text10539,Category2
Panasonic,Model10540,546.0,B,Double Door,None,,Plastic,6.0,Germany,1727.0,2652.0,Text10540,Category1
GE,Model10541,218.0,A++,Double Door,None,Silver,Glass,,Germany,1317.0,1169.0,,Category3
Samsung,Model10542,,B,Single Door,Smart Connectivity,White,Stainless Steel,8.0,Germany,940.0,4547.0,Text10542,Category1
GE,Model10543,785.0,A,Double Door,Smart Connectivity,White,Glass,,China,1295.0,1278.0,Text10543,Category3
Frigidaire,Model10544,142.0,A+,Side-by-Side,Ice Dispenser,White,,8.0,India,395.0,2189.0,Text10544,Category3
Bosch,Model10545,767.0,A+,Single Door,Ice Dispenser,,Glass,1.0,India,1387.0,2870.0,Text10545,
GE,Model10546,363.0,A+,Single Door,Ice Dispenser,Gray,,6.0,Germany,1186.0,3619.0,Text10546,Category3
Bosch,Model10547,295.0,A++,Single Door,Ice Dispenser,Silver,Stainless Steel,9.0,India,,4046.0,,Category3
Panasonic,Model10548,157.0,A++,,Smart Connectivity,White,Stainless Steel,,India,715.0,3894.0,Text10548,Category2
Haier,Model10549,609.0,,,,Gray,Glass,6.0,USA,286.0,3530.0,Text10549,Category3
Panasonic,Model10550,471.0,A++,Single Door,None,Gray,Glass,,USA,676.0,2649.0,Text10550,Category2
Frigidaire,Model10551,529.0,B,Side-by-Side,Ice Dispenser,Black,Stainless Steel,7.0,China,756.0,2522.0,Text10551,Category1
Electrolux,Model10552,616.0,A,Side-by-Side,None,White,Stainless Steel,2.0,India,877.0,1531.0,Text10552,Category1
Whirlpool,Model10553,416.0,A,Double Door,Smart Connectivity,White,,5.0,Germany,572.0,2838.0,Text10553,Category3
Electrolux,Model10554,782.0,B,Side-by-Side,,White,Glass,2.0,India,1161.0,3842.0,Text10554,Category2
Electrolux,Model10555,729.0,A++,Double Door,Ice Dispenser,Black,Glass,5.0,USA,1094.0,1137.0,Text10555,Category2
Panasonic,Model10556,349.0,A+,,Smart Connectivity,Gray,Glass,7.0,USA,1920.0,3431.0,Text10556,Category2
LG,Model10557,,A++,Side-by-Side,Ice Dispenser,Black,Plastic,3.0,India,301.0,3883.0,Text10557,Category3
GE,Model10558,710.0,A+,Double Door,Water Dispenser,Silver,Stainless Steel,5.0,USA,1778.0,,Text10558,Category1
Frigidaire,Model10559,568.0,A++,Side-by-Side,Ice Dispenser,White,Stainless Steel,9.0,Germany,906.0,3089.0,Text10559,Category1
Frigidaire,,234.0,A,Single Door,None,White,Stainless Steel,1.0,USA,1917.0,3767.0,Text10560,Category3
GE,Model10561,538.0,A+,Double Door,Smart Connectivity,White,Plastic,9.0,India,1301.0,4782.0,Text10561,Category2
Bosch,Model10562,258.0,B,Single Door,Smart Connectivity,Silver,Glass,8.0,India,744.0,1197.0,Text10562,Category1
Whirlpool,Model10563,604.0,B,Single Door,Smart Connectivity,Silver,Plastic,9.0,India,488.0,3213.0,Text10563,Category1
Bosch,Model10564,371.0,A++,Single Door,Ice Dispenser,Silver,Glass,9.0,USA,414.0,2259.0,Text10564,Category1
Samsung,Model10565,,A+,Side-by-Side,Water Dispenser,Black,Plastic,7.0,USA,476.0,1183.0,Text10565,Category1
LG,Model10566,589.0,A+,Side-by-Side,None,Black,Stainless Steel,8.0,India,1164.0,2500.0,Text10566,Category1
Electrolux,Model10567,539.0,A,Side-by-Side,None,Gray,Stainless Steel,3.0,USA,1851.0,2331.0,Text10567,Category2
Bosch,Model10568,430.0,A,Single Door,Smart Connectivity,White,Plastic,4.0,India,738.0,4754.0,Text10568,Category2
Electrolux,,561.0,B,Side-by-Side,Ice Dispenser,Black,Plastic,,Germany,1187.0,2004.0,Text10569,Category2
GE,,585.0,A++,Single Door,Ice Dispenser,Gray,Glass,6.0,,1155.0,1002.0,,Category2
Haier,Model10571,171.0,A,Single Door,Water Dispenser,Black,Plastic,7.0,China,1685.0,3503.0,Text10571,Category1
Siemens,Model10572,253.0,A++,Side-by-Side,None,Silver,Stainless Steel,2.0,China,1865.0,4512.0,Text10572,Category1
Panasonic,Model10573,426.0,A+,Single Door,Smart Connectivity,Silver,Stainless Steel,7.0,Germany,1374.0,3226.0,Text10573,Category2
GE,Model10574,480.0,A,Single Door,None,White,Plastic,2.0,Germany,970.0,4367.0,Text10574,
Whirlpool,Model10575,395.0,A++,Double Door,Smart Connectivity,Gray,Glass,6.0,USA,1577.0,1121.0,Text10575,Category3
LG,Model10576,670.0,B,Single Door,None,Gray,Stainless Steel,9.0,Germany,1348.0,3522.0,,
Haier,Model10577,678.0,B,Single Door,Ice Dispenser,Silver,Stainless Steel,6.0,India,974.0,4757.0,Text10577,Category2
GE,Model10578,306.0,A,Double Door,Water Dispenser,White,Glass,6.0,India,915.0,1856.0,Text10578,
Frigidaire,Model10579,385.0,A++,Double Door,,White,Plastic,3.0,USA,1252.0,2001.0,Text10579,Category1
Samsung,,217.0,A,Single Door,Ice Dispenser,White,Stainless Steel,9.0,USA,628.0,3024.0,Text10580,Category3
LG,Model10581,369.0,B,Side-by-Side,Ice Dispenser,Black,Stainless Steel,1.0,China,803.0,2304.0,Text10581,Category2
Panasonic,Model10582,492.0,A,Side-by-Side,None,Black,Glass,8.0,Germany,908.0,2676.0,Text10582,Category3
Siemens,Model10583,159.0,B,Single Door,Smart Connectivity,White,,3.0,USA,372.0,4939.0,Text10583,Category1
Siemens,Model10584,496.0,A++,Side-by-Side,,Gray,Plastic,9.0,Germany,1895.0,3235.0,Text10584,Category1
Siemens,Model10585,440.0,A++,Side-by-Side,Water Dispenser,Black,Plastic,7.0,USA,668.0,3016.0,Text10585,Category3
Electrolux,Model10586,566.0,B,Double Door,None,Silver,Glass,5.0,India,1792.0,4308.0,Text10586,Category1
Panasonic,Model10587,726.0,A++,Side-by-Side,Water Dispenser,Silver,Plastic,1.0,,668.0,2150.0,Text10587,Category3
Siemens,Model10588,556.0,B,Side-by-Side,Ice Dispenser,Silver,Glass,4.0,USA,1965.0,4085.0,Text10588,Category3
GE,Model10589,635.0,B,Side-by-Side,Smart Connectivity,Gray,Stainless Steel,3.0,USA,1252.0,2870.0,Text10589,Category3
LG,Model10590,421.0,A+,Side-by-Side,Smart Connectivity,Black,Stainless Steel,3.0,China,1131.0,2151.0,Text10590,Category1
GE,Model10591,-60.0,B,Side-by-Side,Water Dispenser,Silver,Plastic,7.0,India,1910.0,3182.0,Text10591,Category2
Haier,Model10592,350.0,A++,Single Door,Water Dispenser,White,Glass,3.0,Germany,238.0,2257.0,Text10592,Category3
Whirlpool,Model10593,528.0,A,Single Door,Water Dispenser,Silver,Glass,2.0,Germany,1339.0,2515.0,Text10593,Category3
Bosch,Model10594,242.0,A+,Side-by-Side,,Black,Stainless Steel,7.0,India,1063.0,2779.0,Text10594,Category3
Haier,Model10595,243.0,A++,Side-by-Side,Ice Dispenser,Black,Stainless Steel,9.0,India,815.0,2080.0,Text10595,
GE,Model10596,753.0,A,Single Door,Smart Connectivity,Gray,Glass,5.0,China,228.0,2355.0,Text10596,Category3
Whirlpool,Model10597,190.0,A+,Side-by-Side,Ice Dispenser,Gray,Stainless Steel,,USA,1146.0,2972.0,Text10597,Category3
GE,Model10598,199.0,A+,Single Door,Ice Dispenser,Gray,Plastic,1.0,India,1373.0,4148.0,Text10598,Category2
Panasonic,Model10599,290.0,A,Side-by-Side,Smart Connectivity,Silver,Plastic,7.0,China,1700.0,4620.0,,Category3
Panasonic,Model10600,691.0,A,,Smart Connectivity,Black,Plastic,6.0,China,292.0,3732.0,Text10600,Category2
LG,Model10601,651.0,A,,None,White,Plastic,5.0,India,,,Text10601,Category1
Bosch,Model10602,623.0,A,Single Door,Water Dispenser,Black,Plastic,5.0,China,1297.0,3924.0,Text10602,Category2
Whirlpool,Model10603,448.0,A++,Side-by-Side,Smart Connectivity,White,Glass,3.0,USA,395.0,4015.0,Text10603,
Panasonic,Model10604,316.0,A+,Side-by-Side,Ice Dispenser,Silver,Stainless Steel,1.0,Germany,1271.0,3819.0,Text10604,Category2
Samsung,Model10605,132.0,A,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,5.0,USA,1881.0,2460.0,Text10605,Category2
Panasonic,Model10606,168.0,A,Single Door,Smart Connectivity,Black,Glass,9.0,USA,866.0,3204.0,Text10606,Category1
Samsung,Model10607,342.0,A+,Double Door,Ice Dispenser,Black,Glass,9.0,India,1299.0,2353.0,Text10607,Category2
LG,,157.0,A,,None,Black,Stainless Steel,7.0,China,1316.0,1781.0,Text10608,Category2
Whirlpool,Model10609,199.0,A++,Double Door,Water Dispenser,Black,Stainless Steel,1.0,Germany,1276.0,1543.0,Text10609,Category1
Whirlpool,Model10610,690.0,A+,Double Door,None,Black,Stainless Steel,9.0,Germany,1950.0,4105.0,,Category3
Bosch,Model10611,498.0,A+,Double Door,None,Silver,Plastic,2.0,Germany,1142.0,4858.0,Text10611,Category1
GE,Model10612,617.0,B,Side-by-Side,Water Dispenser,Silver,Plastic,9.0,China,214.0,1873.0,Text10612,Category2
Panasonic,Model10613,161.0,B,Double Door,Water Dispenser,White,Plastic,1.0,China,881.0,2730.0,Text10613,Category1
Siemens,Model10614,,A++,Single Door,Water Dispenser,Gray,Plastic,1.0,Germany,1610.0,3590.0,Text10614,Category2
Whirlpool,Model10615,791.0,A+,Double Door,Smart Connectivity,Gray,Stainless Steel,1.0,USA,1413.0,2379.0,Text10615,Category1
Siemens,Model10616,,A++,Single Door,None,Silver,Plastic,6.0,USA,816.0,3690.0,Text10616,Category2
Whirlpool,Model10617,639.0,A,Side-by-Side,Water Dispenser,Silver,Stainless Steel,9.0,India,1342.0,4326.0,Text10617,Category1
GE,Model10618,795.0,B,Double Door,None,Gray,Glass,7.0,China,357.0,1393.0,Text10618,Category3
Haier,Model10619,178.0,A++,,,Silver,,7.0,India,403.0,2813.0,Text10619,Category1
Panasonic,Model10620,178.0,B,Double Door,None,,Stainless Steel,1.0,Germany,1280.0,1592.0,Text10620,Category2
LG,Model10621,119.0,A++,Double Door,None,Black,Plastic,7.0,India,1139.0,4749.0,Text10621,Category3
LG,Model10622,236.0,A+,Single Door,Smart Connectivity,Gray,Glass,6.0,China,1959.0,2748.0,Text10622,Category1
Samsung,Model10623,151.0,A+,Side-by-Side,None,Gray,Stainless Steel,2.0,China,1170.0,3896.0,Text10623,Category1
Panasonic,,211.0,A,Side-by-Side,Smart Connectivity,Black,Glass,5.0,USA,848.0,2434.0,Text10624,Category3
GE,Model10625,657.0,B,Single Door,Water Dispenser,Black,Stainless Steel,8.0,USA,1584.0,4256.0,Text10625,Category3
Frigidaire,Model10626,646.0,A+,Single Door,,Gray,Stainless Steel,6.0,China,1420.0,,,Category2
LG,Model10627,519.0,B,Double Door,Ice Dispenser,Silver,Glass,6.0,India,829.0,3463.0,Text10627,Category3
Panasonic,Model10628,237.0,A++,Side-by-Side,Water Dispenser,Black,Glass,3.0,USA,902.0,1348.0,Text10628,Category1
Haier,Model10629,426.0,B,Double Door,Water Dispenser,,Plastic,1.0,China,1035.0,1927.0,Text10629,Category2
Samsung,Model10630,522.0,B,Side-by-Side,Water Dispenser,Black,Glass,5.0,India,1031.0,2997.0,Text10630,Category3
Haier,Model10631,232.0,A+,Single Door,,Black,Plastic,9.0,USA,1308.0,3216.0,Text10631,Category1
LG,Model10632,291.0,A+,Side-by-Side,Ice Dispenser,Black,Plastic,5.0,China,1407.0,1294.0,Text10632,Category3
LG,,401.0,B,Double Door,,Silver,Plastic,3.0,Germany,1861.0,2566.0,Text10633,Category2
Whirlpool,Model10634,670.0,A+,Single Door,Water Dispenser,Black,Stainless Steel,5.0,USA,936.0,2618.0,Text10634,Category1
Bosch,Model10635,730.0,B,Single Door,Water Dispenser,White,Plastic,3.0,India,687.0,3188.0,Text10635,Category3
Haier,Model10636,108.0,A+,Double Door,None,White,Stainless Steel,7.0,USA,1126.0,2466.0,Text10636,Category3
Whirlpool,Model10637,430.0,A++,,None,Gray,Glass,1.0,China,403.0,2593.0,Text10637,Category1
Samsung,Model10638,216.0,B,Single Door,None,Gray,Stainless Steel,9.0,India,342.0,,Text10638,Category3
Bosch,Model10639,189.0,A+,Single Door,None,Black,Glass,4.0,Germany,561.0,3903.0,Text10639,Category2
Haier,Model10640,611.0,B,Double Door,None,Gray,Plastic,2.0,,1687.0,4261.0,Text10640,Category1
LG,Model10641,318.0,A+,Side-by-Side,Ice Dispenser,Gray,Stainless Steel,3.0,China,666.0,1068.0,Text10641,Category2
GE,Model10642,187.0,,Single Door,Water Dispenser,Gray,Plastic,8.0,India,1967.0,,Text10642,Category1
Bosch,Model10643,787.0,A++,Side-by-Side,None,Black,Stainless Steel,2.0,China,1641.0,1150.0,Text10643,Category2
GE,Model10644,518.0,A,Side-by-Side,Ice Dispenser,Black,Stainless Steel,1.0,India,568.0,3124.0,Text10644,Category2
Frigidaire,Model10645,438.0,A,Single Door,Ice Dispenser,White,Stainless Steel,2.0,USA,1947.0,1138.0,Text10645,Category3
GE,Model10646,,A++,Double Door,None,Silver,Stainless Steel,2.0,China,1584.0,4092.0,Text10646,Category2
Haier,Model10647,691.0,A,Double Door,Water Dispenser,Black,Stainless Steel,9.0,USA,1074.0,,Text10647,Category1
Bosch,Model10648,592.0,A,Double Door,Water Dispenser,Gray,Stainless Steel,9.0,USA,982.0,3589.0,Text10648,Category1
Panasonic,Model10649,259.0,B,Double Door,Ice Dispenser,White,Glass,1.0,China,728.0,4656.0,Text10649,Category3
LG,Model10650,,A++,Double Door,,Silver,Glass,8.0,India,1452.0,3964.0,Text10650,Category1
Samsung,Model10651,726.0,A++,Double Door,None,Silver,Glass,6.0,China,1652.0,,Text10651,Category3
Haier,Model10652,337.0,A,Single Door,Ice Dispenser,Black,Plastic,9.0,Germany,1894.0,1150.0,Text10652,Category1
Whirlpool,Model10653,283.0,A+,Double Door,Smart Connectivity,Silver,Plastic,5.0,India,825.0,3162.0,Text10653,Category3
Haier,Model10654,423.0,A++,Side-by-Side,None,Silver,Stainless Steel,4.0,Germany,1969.0,4063.0,Text10654,Category2
Electrolux,Model10655,314.0,A+,Double Door,None,,Stainless Steel,6.0,India,457.0,3365.0,,Category3
Bosch,Model10656,775.0,A++,Double Door,Water Dispenser,Black,,5.0,China,1105.0,4856.0,Text10656,Category1
Electrolux,Model10657,,,Double Door,Water Dispenser,White,Glass,6.0,Germany,1142.0,3251.0,Text10657,Category3
Frigidaire,Model10658,,A,,Ice Dispenser,Black,Plastic,5.0,India,1000.0,2405.0,Text10658,Category1
GE,Model10659,601.0,B,Single Door,Ice Dispenser,Gray,Stainless Steel,5.0,Germany,,3258.0,Text10659,Category2
Samsung,Model10660,234.0,A++,Single Door,Smart Connectivity,Silver,Glass,8.0,India,722.0,2703.0,Text10660,Category3
Br@ndX,Model10661,117.0,,Double Door,None,White,Stainless Steel,5.0,China,863.0,1440.0,Text10661,Category3
Electrolux,Model10662,358.0,B,Side-by-Side,Ice Dispenser,Gray,Stainless Steel,5.0,India,929.0,4588.0,Text10662,Category1
Samsung,Model10663,694.0,A,Side-by-Side,Water Dispenser,Black,Glass,6.0,Germany,1280.0,4602.0,Text10663,Category3
Frigidaire,Model10664,658.0,A+,Double Door,Smart Connectivity,Silver,,8.0,Germany,1123.0,3015.0,Text10664,Category2
Whirlpool,Model10665,135.0,B,Side-by-Side,Smart Connectivity,White,Glass,,China,610.0,3437.0,Text10665,Category1
Frigidaire,Model10666,236.0,A,Single Door,Ice Dispenser,White,Stainless Steel,6.0,USA,1495.0,4389.0,,
Frigidaire,Model10667,116.0,A+,Single Door,None,Gray,Glass,2.0,China,1575.0,3295.0,,Category3
Siemens,Model10668,364.0,A,Double Door,Smart Connectivity,Black,Glass,5.0,China,1534.0,4674.0,,Category3
Haier,,480.0,B,Side-by-Side,Smart Connectivity,Black,Glass,6.0,India,1553.0,1517.0,Text10669,Category2
Samsung,Model10670,506.0,B,Single Door,Smart Connectivity,Gray,Plastic,2.0,China,281.0,1504.0,Text10670,Category3
GE,Model10671,115.0,A++,Double Door,Ice Dispenser,White,Stainless Steel,1.0,India,1348.0,3409.0,Text10671,Category3
GE,Model10672,200.0,A++,Double Door,Water Dispenser,Silver,Plastic,8.0,China,600.0,4246.0,,Category1
Samsung,Model10673,135.0,A,Double Door,None,Silver,Stainless Steel,3.0,China,1567.0,2920.0,Text10673,Category2
LG,Model10674,286.0,A,Side-by-Side,Water Dispenser,Silver,Plastic,2.0,Germany,1031.0,4679.0,Text10674,Category1
Electrolux,Model10675,257.0,A,Double Door,Smart Connectivity,White,Stainless Steel,6.0,India,1255.0,2153.0,Text10675,Category1
Panasonic,Model10676,,B,Single Door,Smart Connectivity,Silver,Glass,1.0,USA,1892.0,4800.0,Text10676,Category2
Bosch,Model10677,391.0,B,Single Door,Smart Connectivity,Gray,,6.0,USA,1930.0,1454.0,Text10677,Category1
Bosch,Model10678,335.0,A,Single Door,Smart Connectivity,Black,Plastic,7.0,Germany,593.0,2718.0,Text10678,Category2
GE,Model10679,375.0,A+,Side-by-Side,,Black,Glass,6.0,Germany,779.0,3390.0,Text10679,Category2
GE,Model10680,433.0,B,Single Door,None,Black,Stainless Steel,6.0,China,1943.0,,Text10680,Category1
LG,Model10681,222.0,A++,Single Door,None,Silver,Stainless Steel,8.0,China,1592.0,2329.0,Text10681,Category2
LG,Model10682,561.0,A,Double Door,Ice Dispenser,Silver,Glass,9.0,China,,2652.0,Text10682,Category3
Whirlpool,,490.0,B,Single Door,Ice Dispenser,Silver,Plastic,8.0,Germany,1001.0,3661.0,Text10683,Category3
Frigidaire,Model10684,374.0,A+,Single Door,Water Dispenser,Black,Stainless Steel,4.0,China,514.0,3305.0,Text10684,Category1
Bosch,Model10685,592.0,A+,,Ice Dispenser,Black,Plastic,7.0,USA,1189.0,1147.0,Text10685,Category1
LG,Model10686,485.0,A+,Side-by-Side,Water Dispenser,White,Plastic,4.0,USA,409.0,4114.0,Text10686,Category2
Bosch,Model10687,719.0,A,Side-by-Side,None,Gray,Stainless Steel,6.0,China,1752.0,4352.0,Text10687,Category2
